name,prompt,negative_prompt
※桃宮いちご（私服その2）,"momomiya ichigo,short hair,short twintails,red hair,pink hair,sidelocks,brown eyes,red eyes,eyelashes,eyebrows visible through hair,hair ribbon,red ribbon,pink dress,pinafore dress,sleeveless dress,pleated dress,pink ribbon,white shirt,long sleeves,frills,turtleneck,pink skirt,pink legwear,pink socks,cross-laced footwear,boots,brown footwear",""
※桃宮いちご（学生服）,"momomiya ichigo,school uniform (ichigo mint),short hair,short twintails,red hair,pink hair,sidelocks,brown eyes,red eyes,eyelashes,eyebrows visible through hair,hair ribbon,red ribbon,neck bell,red choker,serafuku,sailor dress,sailor collar,white shirt,puffy short sleeves,bowtie,red neckwear,white legwear,white socks,brown footwear,loafers",""
※桃宮いちご（カフェミュウミュウ制服）,"momomiya ichigo,waitress,short hair,red hair,pink hair,brown eyes,red eyes,eyelashes,eyebrows visible through hair,red dress,frilled dress,puffy short sleeves,pleated skirt,maid apron,white apron,pink bowtie,frills,maid headdress,hair ribbon,pink ribbon,pink socks,black footwear,boots",""
※桃宮いちご（ステージ衣装）,"momomiya ichigo,short hair,short twintails,red hair,pink hair,sidelocks,brown eyes,red eyes,eyelashes,eyebrows visible through hair,hair ribbon,red ribbon,neck bell,red choker,black vest,open vest,white shirt,collar,sleeveless shirt,bare shoulders,black skirt,pink skirt,frilled skirt,pleated skirt,layered skirt,thigh strap,white belt,buckle,armband,arm ribbon,black footwear,knee boots",""
※桃宮いちご（猫）,"momomiya ichigo (cat),black cat,no humans,red eyes,pink eyes,slit pupils,whiskers,red collar,neck bell,cat ears,cat tail,furry,brown fur",""
※ミュウミント（変身）,"mew mint,blue hair,short hair,double bun,wavy hair,blue eyes,eyelashes,eyebrows visible through hair,hair ornament,blue dress,short dress,strapless dress,puffy detached sleeves,blue bowtie,blue neckwear,blue gloves,detached collar,heart brooch,leg garter,blue legwear,socks,blue footwear,boots,black wings,mini wings,bird tail",""
※藍沢みんと（私服その1）,"aizawa mint,blue hair,short hair,wavy hair,blue eyes,grey eyes,eyelashes,eyebrows visible through hair,hair bow,black bow,white shirt,collared shirt,long sleeves,frills,blue skirt,purple skirt,pleated skirt,ascot,brooch,red neckwear,white socks,white legwear,brown footwear,loafers",""
※藍沢みんと（私服その2）,"aizawa mint,blue hair,short hair,wavy hair,blue eyes,grey eyes,eyelashes,eyebrows visible through hair,hair bow,black bow,white dress,pink shirt,white skirt,casual,apron,long sleeves,buttons,black thighhighs,black legwear",""
※藍沢みんと（学生服）,"aizawa mint,school uniform (ichigo mint),blue hair,short hair,wavy hair,blue eyes,grey eyes,eyelashes,eyebrows visible through hair,hair bow,black bow,serafuku,sailor dress,grey dress,black sailor collar,puffy short sleeves,white sleeves,grey skirt,red bowtie,red neckwear,socks,white legwear,brown footwear,mary janes",""
※藍沢みんと（カフェミュウミュウ制服）,"aizawa mint,waitress,blue hair,short hair,wavy hair,blue eyes,grey eyes,eyelashes,eyebrows visible through hair,blue dress,puffy short sleeves,pleated skirt,blue skirt,maid headdress,maid apron,white apron,frilled apron,frills,blue bowtie,blue neckwear,hair ribbon,blue ribbon,socks,blue legwear,black footwear,boots",""
※ミュウレタス（変身）,"mew lettuce,green hair,short hair,long hair,short hair with long locks,green eyes,eyelashes,eyebrows visible through hair,hair ribbon,green dress,white ribbon,green skirt,puffy detached sleeves,detached sleeves,puffy short sleeves,brooch,green choker,detached collar,bowtie,green bow,green neckwear,wrist cuffs,arm garter,bridal garter,green footwear,knee boots",""
※碧川レタス（私服その1）,"midorikawa lettuce,green hair,short hair,long hair,short hair with long locks,twin braids,hair ribbon,white ribbon,blue eyes,purple eyes,eyebrows visible through hair,round eyewear,yellow dress,sleeveless dress,casual,grey shirt,short sleeves,turtleneck,yellow skirt,long skirt,high-waist skirt,suspenders,necklace,pendant,brown footwear",""
※碧川レタス（私服その2）,"midorikawa lettuce,green hair,short hair,long hair,short hair with long locks,twin braids,hair ribbon,white ribbon,blue eyes,purple eyes,eyebrows visible through hair,round eyewear,earrings,white shirt,dress shirt,collared shirt,white blouse,long sleeves,pink skirt,long skirt,buttons,frills,white footwear,high heels",""
※碧川レタス（学生服）,"midorikawa lettuce,school uniform (lettuce),green hair,short hair,twin braids,hair ribbon,white ribbon,blue eyes,purple eyes,eyebrows visible through hair,round eyewear,serafuku,white shirt,long sleeves,brown sailor collar,yellow bow,yellow neckwear,pleated skirt,brown skirt,long skirt,green socks,green legwear,loafers,brown footwear",""
※碧川レタス（カフェミュウミュウ制服）,"midorikawa lettuce,waitress,green hair,short hair,long hair,short hair with long locks,twin braids,hair ribbon,white ribbon,blue eyes,purple eyes,eyebrows visible through hair,round eyewear,green dress,frilled dress,green skirt,pleated skirt,puffy short sleeves,maid headdress,hair bow,maid apron,white apron,frilled apron,bowtie,green bow,green neckwear,frills,green socks,black footwear,boots",""
※ミュウプリン（変身）,"mew pudding,blonde hair,brown hair,orange hair,short hair,twintails,twin braids,two side up,brown eyes,orange eyes,monkey ears,eyebrows visible through hair,eyelashes,hair ribbon,red bow,yellow dress,puffy detached sleeves,puffy short sleeves,brooch,detached collar,yellow choker,bowtie,red neckwear,orange gloves,fingerless gloves,wrist cuffs,bridal garter,monkey tail,ankle lace-up,footwear ribbon,orange legwear,socks,yellow footwear,shoes",""
